"Feature category","Implemented feature","Implementation status","Current prototype implementation","Supporting paper title","Authors","Year","Venue or source type","Support strength","Design issue supported","How this paper supports or informs the feature","Design guidance for this prototype","What to avoid or note","DOI or link","Search cluster"
"Technical platform","Browser-based WebXR/Babylon.js platform","Implemented","The prototype was migrated from Unreal Engine 4 to a browser-based WebXR application built on Babylon.js. The VR client, desktop companion, and session logic run on shared browser-accessible data packages.","VRIA: A Web-based Framework for Creating Immersive Analytics Experiences","Butcher, John, and Ritsos","2021","Immersive analytics framework paper","Moderate","Whether browser-based immersive systems are a credible architecture for visualization research","VRIA argues that open web technologies can support immersive visualization workflows in the browser and improve accessibility across devices.","Use the WebXR/Babylon.js migration as a research-platform decision: browser delivery makes headset, desktop, and shared sessions easier to stage for studies.","VRIA uses WebVR/A-Frame/React/D3 rather than Babylon.js, so it supports the web-based architecture more than the exact library choice.","https://research.bangor.ac.uk/en/publications/vria-a-web-based-framework-for-creating-immersive-analytics-exper/","webxr browser immersive visualization"
"Technical platform","Browser-based WebXR/Babylon.js platform","Implemented","The browser stack allows the prototype to support VR review, desktop review, and linked VR plus desktop review without rebuilding the scene in a closed game-engine workflow.","Visualization in Virtual Reality: A Systematic Review","Sicat, Li, Choi, Cordeil, Jeong, Bach, and Pfister","2022","Systematic review","Background","How VR visualization systems should be positioned as research artifacts","The review notes that visualization in VR lacks common baselines and that many systems rely on game engines, which can complicate standardization and comparison.","Use the current browser-based implementation to argue for a more portable and reproducible prototype than a single static engine scene.","The review is broad and not specific to aviation, WebXR, or training.","https://arxiv.org/abs/2203.07616","webxr browser immersive visualization"
"Technical platform","Browser-based WebXR/Babylon.js platform","Implemented","The current stack supports browser-based linked sessions across the VR and desktop clients.","WebTransceiVR: Asymmetrical Communication Between Multiple VR and Non-VR Users Online","Lyu, Vachha, Chen, Pyrinis, Liou, Thoravi Kumaravel, and Hartmann","2022","CHI Extended Abstract / toolkit paper","Moderate","How browser-accessible tools can support VR and non-VR collaboration","WebTransceiVR lets multiple non-VR users enter a VR user's virtual space through standard web browsers.","Supports building the instructor/observer side as a browser-based companion rather than requiring another VR headset.","WebTransceiVR is a Unity toolkit and not an ATC system; use it as architecture precedent, not domain evidence.","https://doi.org/10.1145/3491101.3519816","webxr browser collaboration"
"Data architecture","Manifest-driven FAA section loading","Implemented","Each section is staged through a manifest that points to the base chart, vector overlays, labels, and interaction metadata. The client loads these assets at runtime rather than entering a single hard-coded scene.","An Iterative Design Method for Advancing Air Traffic Control and Management Training Through Immersive VFR 3D Map Visualization","Patrick, Lee, Desmit, and Carter","2025","Domain prototype paper","Direct","Why real VFR chart content should remain the foundation of the prototype","The prior work established the immersive VFR map as a usable ATC/ATM training concept built around real chart content and expert feedback.","Use the manifest pipeline to preserve the same training content while making it easier to add sections, layers, labels, and collaborative state.","The paper supports the domain content and iterative design rationale, while the manifest architecture is a current technical contribution.","https://doi.org/10.1080/24725838.2025.2449979","ATC VR map baseline"
"Data architecture","GeoTIFF-calibrated chart and raster tile pyramid","Implemented","GeoTIFF-calibrated chart imagery is converted into browser-ready raster tiles and used as the base chart layer.","Cartographic Scale in Immersive Virtual Environments","Hruby, Ressl, and de la Borbolla del Valle","2020","Cartography / immersive environments paper","Moderate","How cartographic principles matter when maps move into immersive environments","The paper discusses how map scale and cartographic representation work differently in immersive virtual environments.","Use calibrated chart imagery and tiling to keep the VR map anchored in cartographic source material rather than a decorative 3D scene.","This supports cartographic care in immersive maps, not the specific FAA GeoTIFF pipeline.","https://doi.org/10.1007/s42489-020-00055-y","immersive geospatial visualization"
"Data architecture","GeoTIFF-calibrated chart and raster tile pyramid","Implemented","The map base is treated as a real chart layer rather than a simplified training graphic.","An Iterative Design Method for Advancing Air Traffic Control and Management Training Through Immersive VFR 3D Map Visualization","Patrick, Lee, Desmit, and Carter","2025","Domain prototype paper","Direct","Why the prototype should preserve authentic FAA-style VFR chart content","The prior study used VFR map content as the core training object and evaluated it with aviation subject-matter experts.","Supports retaining chart fidelity while changing the runtime platform and interaction model.","The current implementation should still be validated against expert expectations for chart accuracy.","https://doi.org/10.1080/24725838.2025.2449979","ATC VR map baseline"
"Layered visualization","Six inherited information layers","Implemented","The prototype retains the six-layer structure from the prior phase: base map, airspace, Victor airways, airports, intersections, and navigational aids.","An Iterative Design Method for Advancing Air Traffic Control and Management Training Through Immersive VFR 3D Map Visualization","Patrick, Lee, Desmit, and Carter","2025","Domain prototype paper","Direct","Why these chart layers were selected","Patrick et al. designed and evaluated the earlier immersive prototype around these VFR chart layers and reported strong usability and expert interest.","Use the six layers as the inherited content baseline. This lets the current phase improve platform, interaction, and collaboration without changing the basic instructional content all at once.","This is the strongest direct citation for the layer set because it comes from the same project lineage.","https://doi.org/10.1080/24725838.2025.2449979","layered ATC chart visualization"
"Layered visualization","Layer visibility toggles","Implemented","Users can toggle map layers and labels from the VR control panel; linked sessions can synchronize layer state between clients.","Exploring Multiple and Coordinated Views for Multilayered Geospatial Data in Virtual Reality","Yang, Dwyer, Jenny, Marriott, and Chen","2020","Geospatial VR / immersive analytics paper","Moderate","How to handle complex multilayered geospatial data in VR","The paper studies multiple and coordinated views for multilayered geospatial data in VR, which supports separating complex spatial information into coordinated components.","Use layer toggles and coordinated state to let learners isolate specific aviation information instead of viewing all chart data at once.","The paper is not aviation-specific, so pair it with Patrick et al. for domain justification.","https://www.mdpi.com/2078-2489/11/9/425","multilayer geospatial VR"
"Layered visualization","Layer visibility toggles","Implemented","Layer visibility can be changed in the immersive view and synchronized in linked review.","An Iterative Design Method for Advancing Air Traffic Control and Management Training Through Immersive VFR 3D Map Visualization","Patrick, Lee, Desmit, and Carter","2025","Domain prototype paper","Direct","Why layer isolation matters for early VFR/ATC map learning","The earlier prototype treated togglable layers as central to making dense sectional chart content inspectable in VR.","Retain layer toggles as a learning support and extend them into synchronized instructor-guided review.","Do not overclaim that layer toggles alone improve learning; the current study still needs outcome testing.","https://doi.org/10.1080/24725838.2025.2449979","layered ATC chart visualization"
"Layered visualization","Vector overlay pipeline","Implemented","Operational layers are staged as vector payloads and loaded as interactive geometry in Babylon.js.","Exploring Multiple and Coordinated Views for Multilayered Geospatial Data in Virtual Reality","Yang, Dwyer, Jenny, Marriott, and Chen","2020","Geospatial VR / immersive analytics paper","Moderate","Why represent layered spatial data as separable, interactive components","The paper addresses multilayer geospatial data in VR and the need for coordinated views when spatial layers become complex.","Use vector overlays to make chart elements selectable, highlightable, and reusable across VR and desktop clients.","This supports the general design pattern; the aviation data model still comes from FAA sources and Patrick et al.","https://www.mdpi.com/2078-2489/11/9/425","multilayer geospatial VR"
