"Title","Authors","Year","Venue/source","Decision","Reason","Primary feature support","DOI or link"
"An Iterative Design Method for Advancing Air Traffic Control and Management Training Through Immersive VFR 3D Map Visualization","Patrick, Lee, Desmit, and Carter","2025","IISE Transactions on Occupational Ergonomics and Human Factors","include","Direct project baseline and strongest support for VFR layer choices, altitude recommendation, and iterative SME-informed design.","baseline layers; altitude layer; demo readiness","https://doi.org/10.1080/24725838.2025.2449979"
"Design and Evaluation of a Tool to Support Air Traffic Control with 2D and 3D Visualizations","Rottermanner et al.","2020","IEEE VR","include","Direct ATC visualization comparison with situation awareness and workload measures.","3D airspace/altitude visualization","https://doi.org/10.1109/VR46266.2020.00011"
"A Framework for Considering Spatial-Temporal Representation Design in Air Traffic Control","Wong, Rozzi, Amaldi, Woodward, and Fields","2006","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","include","ATC-specific framework for spatial-temporal reasoning and display design.","altitude/spatial constraints","https://doi.org/10.1177/154193120605000309"
"Visuospatial Task Performance as a Function of Two- and Three-Dimensional Display Presentation Techniques","Van Orden and Broyles","2000","Displays","include","Useful caution that 3D display is not automatically better across ATC-like tasks.","altitude/3D visualization caution","https://doi.org/10.1016/S0141-9382(00)00024-X"
"Usability Evaluation of Hybrid 2D-3D Visualization Tools in Basic Air Traffic Control Operations","Li et al.","2021","IEEE SMC","include","Cautionary evidence about hybrid 2D/3D ATC visualization, workload, and spatial memory.","3D visualization evaluation","https://doi.org/10.1109/SMC52423.2021.9658807"
"VRIA: A Web-based Framework for Creating Immersive Analytics Experiences","Butcher, John, and Ritsos","2021","IEEE VIS / immersive analytics related publication","include","Supports browser-based immersive visualization architecture.","WebXR/browser platform","https://research.bangor.ac.uk/en/publications/vria-a-web-based-framework-for-creating-immersive-analytics-exper/"
"Visualization in Virtual Reality: A Systematic Review","Sicat et al.","2022","arXiv systematic review","include","Broad review of VR visualization systems and gaps in standards/baselines.","browser platform; evaluation readiness","https://arxiv.org/abs/2203.07616"
"Exploring Multiple and Coordinated Views for Multilayered Geospatial Data in Virtual Reality","Yang, Dwyer, Jenny, Marriott, and Chen","2020","Information","include","Supports layered geospatial data and coordinated views in VR.","layer toggles; vector overlays","https://www.mdpi.com/2078-2489/11/9/425"
"Cartographic Scale in Immersive Virtual Environments","Hruby, Ressl, and de la Borbolla del Valle","2020","KN - Journal of Cartography and Geographic Information","include","Supports cartographic care when moving maps into immersive environments.","GeoTIFF chart/raster tiles","https://doi.org/10.1007/s42489-020-00055-y"
"Visualizing and Interacting with Geospatial Networks: A Survey and Design Space","Jung, Dwyer, Marriott, and Klein","2021","arXiv survey","include","Supports interactive treatment of route/network-like spatial data.","Victor routes/vector overlays","https://arxiv.org/abs/2101.06322"
"An Introduction to 3-D User Interface Design","Bowman, Kruijff, LaViola, and Poupyrev","2001","Presence","include","Classic 3D UI task categories: navigation, selection/manipulation, system control.","map manipulation; controls","https://vtechworks.lib.vt.edu/items/cc206095-a0b1-4add-adf4-1ef699c709c2"
"An Evaluation of Techniques for Grabbing and Manipulating Remote Objects in Immersive Virtual Environments","Bowman and Hodges","1997","SI3D","include","Classic empirical support for grab/manipulation techniques in immersive VR.","controller-based manipulation","https://doi.org/10.1145/253284.253301"
"The Cognitive Affective Model of Immersive Learning (CAMIL)","Makransky and Petersen","2021","Educational Psychology Review","include","Supports measuring self-efficacy, agency, cognitive load, and learning outcomes in IVR.","interaction agency; evaluation measures","https://doi.org/10.1007/s10648-020-09586-2"
"A Systematic Review of Immersive Virtual Reality Applications for Higher Education","Radianti, Majchrzak, Fromm, and Wohlgenannt","2020","Computers & Education","include","Supports need for stronger instructional design and learning outcome evaluation in VR education.","evaluation readiness","https://doi.org/10.1016/j.compedu.2019.103778"
"Designing for Collaborative Learning in Immersive Virtual Reality","Paulsen, Dau, and Davidsen","2024","Virtual Reality","include","Supports joint attention, spatial awareness, collaborative learning design, and shared goals.","highlighting; collaborative learning","https://doi.org/10.1007/s10055-024-00975-4"
"Asymmetric Collaboration in Virtual Reality","Albaek Thomsen, Nilsson, Nordahl, and Lohmann","2019","LOM","include","Defines asymmetric collaborative immersive learning as a design space.","desktop companion; asymmetric collaboration","https://doi.org/10.7146/lom.v12i20.109391"
"A Composite Framework of Co-located Asymmetric Virtual Reality","Ouverson and Gilbert","2021","Proceedings of the ACM on Human-Computer Interaction","include","Framework for technology, role, information, and interaction asymmetry.","desktop companion; synchronized state","https://doi.org/10.1145/3449079"
"Towards Collaborative Learning in Virtual Reality","Drey et al.","2022","CHI","include","Direct comparison of symmetric VR/VR and asymmetric VR/tablet pair learning.","instructor-trainee asymmetry; awareness caution","https://doi.org/10.1145/3491102.3517641"
"Combining Virtual Reality with Asymmetric Collaborative Learning","De Lorenzis et al.","2024","Smart Learning Environments","include","Empirical education case where asymmetric VR supported knowledge gain and lower mental demand in parts of the study.","asymmetric learning","https://doi.org/10.1186/s40561-024-00331-8"
"Knowing Your Student","Pan, Zheng, Xu, and Campbell","2021","IEEE Access","include","Teacher decision-support system using asymmetric MR collaborative learning.","instructor mode; future dashboard","https://doi.org/10.1109/ACCESS.2021.3134589"
"Student and Teacher Meet in a Shared Virtual Reality","Saalfeld et al.","2020","arXiv / tutoring system","include","Close teacher-student tutoring precedent with immersive and non-immersive roles.","instructor-trainee collaboration","https://arxiv.org/abs/2011.07926"
"TransceiVR","Thoravi Kumaravel, Nguyen, DiVerdi, and Hartmann","2020","UIST","include","Strong support for shared visual reference, annotation, and VR/non-VR collaboration.","synchronized highlighting; linked sessions","https://doi.org/10.1145/3379337.3415827"
"WebTransceiVR","Lyu et al.","2022","CHI Extended Abstracts","include","Supports browser-based non-VR users joining VR spaces.","browser-native linked sessions","https://doi.org/10.1145/3491101.3519816"
"Characterizing Asymmetric Collaborative Interactions in Virtual and Augmented Realities","Grandi, Debarba, and Maciel","2019","IEEE VR","include","Empirical comparison of asymmetric VR-AR collaboration with symmetric conditions.","asymmetric collaboration","https://doi.org/10.1109/VR.2019.8798080"
"Understanding User Experience, Task Performance, and Task Interdependence in Symmetric and Asymmetric VR Collaborations","Zhang et al.","2024","Virtual Reality","include","Comparative PC-PC, PC-VR, and VR-VR collaboration study.","VR/PC collaboration","https://doi.org/10.1007/s10055-024-01072-2"
"Development of NASA-TLX","Hart and Staveland","1988","Advances in Psychology","include","Standard workload measure.","evaluation workload","https://doi.org/10.1016/S0166-4115(08)62386-9"
"Toward a Theory of Situation Awareness in Dynamic Systems","Endsley","1995","Human Factors","include","Foundational situation-awareness theory in dynamic systems.","evaluation framing","https://doi.org/10.1518/001872095779049543"
