title,authors,year,venue,url,doi,abstract_available,access_status,decision,reason,local_file
"Improving Students' Learning With Effective Learning Techniques","Dunlosky; Rawson; Marsh; Nathan; Willingham",2013,"Psychological Science in the Public Interest","https://pubmed.ncbi.nlm.nih.gov/26173288/","10.1177/1529100612453266",yes,manual,include,"Broad evidence review; directly evaluates durable-learning techniques",""
"Organizational Memory","Walsh; Ungson",1991,"Academy of Management Review","https://journals.aom.org/doi/10.5465/AMR.1991.4278992","10.5465/AMR.1991.4278992",yes,manual,include,"Foundational organizational retention and retrieval framework",""
"Unlearning and forgetting in organizations: a systematic review of literature","Klammer; Gueldenberg",2019,"Journal of Knowledge Management","https://www.sciencedirect.com/science/article/pii/S136732701900022X","10.1108/JKM-05-2018-0277",yes,manual,include,"Systematic review of knowledge loss, unlearning, and forgetting",""
"Distributed practice in verbal recall tasks: A review and quantitative synthesis","Cepeda; Pashler; Vul; Wixted; Rohrer",2006,"Psychological Bulletin","https://pubmed.ncbi.nlm.nih.gov/16719566/","10.1037/0033-2909.132.3.354",yes,open,include,"Large meta-analysis of spacing and retention intervals","papers/open-access/2006 - Cepeda - Distributed practice.pdf"
"The Power of Testing Memory: Basic Research and Implications for Educational Practice","Roediger; Karpicke",2006,"Perspectives on Psychological Science","https://pubmed.ncbi.nlm.nih.gov/26151629/","10.1111/j.1745-6916.2006.00012.x",yes,manual,include,"Foundational testing-effect review",""
"The Critical Importance of Retrieval for Learning","Karpicke; Roediger",2008,Science,"https://doi.org/10.1126/science.1152408","10.1126/science.1152408",yes,open,include,"Influential experiment isolating repeated retrieval","papers/open-access/2008 - Karpicke - Critical importance of retrieval.pdf"
"The critical role of retrieval practice in long-term retention","Roediger; Butler",2011,"Trends in Cognitive Sciences","https://pubmed.ncbi.nlm.nih.gov/20951630/","10.1016/j.tics.2010.09.003",yes,manual,include,"Concise review of mechanisms, feedback, and transfer",""
"Is expanding retrieval a superior method for learning text materials?","Karpicke; Roediger",2010,"Memory & Cognition","https://pubmed.ncbi.nlm.nih.gov/19966244/","10.3758/MC.38.1.116",yes,open,include,"Tests an important boundary condition for retrieval schedules","papers/open-access/2010 - Karpicke - Expanding retrieval.pdf"
"Better practices for retaining organizational knowledge","DeLong; Davenport",2003,"Employment Relations Today","https://onlinelibrary.wiley.com/doi/10.1002/ert.10098","10.1002/ert.10098",yes,manual,include,"Directly addresses organizational retention interventions",""
"Measuring transactive memory systems in the field","Lewis",2003,"Journal of Applied Psychology","https://pubmed.ncbi.nlm.nih.gov/12940401/","10.1037/0021-9010.88.4.587",yes,manual,include,"Validated team-memory measurement instrument",""
"Knowledge and Performance in Knowledge-Worker Teams","Lewis",2004,"Management Science","https://pubsonline.informs.org/doi/abs/10.1287/mnsc.1040.0257","10.1287/mnsc.1040.0257",yes,manual,include,"Longitudinal team evidence linking transactive memory and performance",""
"Organizational forgetting Part I: a review of the literature and future research directions","Mariano; Casey; Olivera",2020,"The Learning Organization","https://www.sciencedirect.com/science/article/pii/S0969647420000269","",yes,manual,include,"Organizes accidental/purposeful forgetting and loss mechanisms",""
"Is organizational learning being absorbed by knowledge management? A systematic review","Castaneda; Manrique; Cuellar",2018,"Journal of Knowledge Management","https://www.sciencedirect.com/org/science/article/pii/S136732701800073X","10.1108/JKM-01-2017-0041",yes,open,include,"Large systematic map connecting organizational learning, retention, and transfer",""
"Continual Lifelong Learning with Neural Networks: A Review","Parisi; Kemker; Part; Kanan; Wermter",2019,"Neural Networks / arXiv","https://arxiv.org/abs/1802.07569","10.1016/j.neunet.2019.01.012",yes,open,borderline,"Optional computational analogy; different unit of analysis","papers/open-access/2019 - Parisi - Continual lifelong learning.pdf"
"A Comprehensive Survey of Continual Learning: Theory, Method and Application","Wang et al.",2024,"IEEE TPAMI / arXiv","https://arxiv.org/abs/2302.00487","",yes,open,borderline,"Optional updated computational taxonomy","papers/open-access/2024 - Wang - Comprehensive continual learning.pdf"
"Knowledge retention in organizations","Egeland",2017,"University of Stavanger thesis","https://uis.brage.unit.no/uis-xmlui/bitstream/handle/11250/2459574/Egeland_Ida.pdf?sequence=1","",yes,open,exclude,"Thesis superseded by peer-reviewed reviews in the core corpus",""
"Knowledge sharing in organization: A systematic review","Various",2023,"Cogent Business & Management","https://www.tandfonline.com/doi/pdf/10.1080/23311975.2023.2195027","10.1080/23311975.2023.2195027",yes,open,exclude,"Focus is broad knowledge sharing rather than persistence or retrieval",""
"Continual learning: A systematic literature review","Various",2025,"Neural Networks","https://www.sciencedirect.com/science/article/pii/S0893608025011074","",yes,manual,exclude,"Optional AI scope already represented by two broad surveys",""
